Vulnerable contracts,Platform,address
CVE-2018-10666,ETH,0xcc13fc627effd6e35d2d2706ea3c4d7396c610ea
CVE-2018-10705,ETH,0xCdCFc0f66c522Fd086A1b725ea3c0Eeb9F9e8814
CVE-2018-19831,ETH,0x8E9f6181371013194d48Bc031ADF7Fe179fb37e3
CVE-2018-19834,ETH,0x5ABC07D28DCC3B60a164d57e4E3981a090c5d6De
CVE-2020-17753,ETH,0x403E518F21F5Ce308085Dcf6637758C61f92446A
CVE-2021-3006,ETH,0x33c2DA7Fd5B125E629B3950f3c38d7f721D7B30D
20230801 LeetSwap,BASE,0x94dac4a3ce998143aa119c05460731da80ad90cf
20230615 DEPUSDT_LEVUSDC,ETH,0x94290106d2a32bc89be9f1c3a3f3394f64578aa6
20230506 Melo,BSC,0x9A1aEF8C9ADA4224aD774aFdaC07C24955C92a54
20230307 - Phoenix,Ploygon,0x6d68beb09ea7e76d561ea8c4aac34a6611dd9821
20221129 - MBC & ZZSH,BSC,0x4e87880a72f6896e7e0a635a5838ffc89b13bd17
20221025 ULME,BSC,0xAE975a25646E6eB859615d0A147B909c13D31FEd
20221017 Uerii Token,ETH,0x418C24191aE947A78C99fDc0e45a1f96Afb254BE
20221011 Templedao,ETH,0xd2869042e12a3506100af1d192b5b04d65137941
20221001 BabySwap,BSC,0x8317c460c22a9958c27b4b6403b98d2ef4e2ad32
20220908 Ragnarok Online Invasion,BSC,0xe48b75dc1b131fd3a8364b0580f76efd04cf6e9c
20220902 ShadowFi,BSC,0x10bc28d2810dD462E16facfF18f78783e859351b
20220801 Reaper Farm,FTM,0xcdA5deA176F2dF95082f4daDb96255Bdb2bc7C7D
20220706 FlippazOne NFT,ETH,0xE85A08Cf316F695eBE7c13736C8Cc38a7Cc3e944
20220608 GYMNetwork,BSC,0x0288fba0bf19072d30490a0f3c81cd9b0634258a
20220415 Rikkei Finance,BSC,0xd55f01b4b51b7f48912cd8ca3cdd8070a1a9dba5
20220208 Sandbox LAND,ETH,0x50f5474724e0Ee42D9a4e711ccFB275809Fd6d4a
